Sample	posterior	likelihood	prior	N0	NInfinity	b	tree.height	tree.treeLength	D.treeLikelihood
89000	-1697.2164189907787	-1653.4760342452864	-43.740384745492356	215.30097783160014	9659.441322767212	0.39583866964663333	2.801745489245333	32.35569200494568	-1653.4760342452864
90000	-1699.7072443291918	-1656.0201236971807	-43.687120632011	295.5123849544612	10015.150997149676	0.39583866964663333	3.064832961306026	35.407015203097494	-1656.0201236971807
91000	-1694.4254758479308	-1653.9414127533619	-40.48406309456897	282.03083011158293	23471.366779567645	0.4186234449664804	2.2969976855050365	27.801761849871788	-1653.9414127533619
92000	-1699.5425136076335	-1652.8136658267908	-46.72884778084268	406.3008334525454	15545.890513483808	0.38314521577428223	2.8930225846798665	33.73895576825717	-1652.8136658267908
93000	-1695.0229208830822	-1651.2266088168847	-43.796312066197444	353.12866223329684	16893.228732072024	0.4164912320386424	2.663029081813794	30.806485550711386	-1651.2266088168847
94000	-1694.8770935096227	-1649.7358996503158	-45.14119385930685	337.4656723831608	32948.86716313087	0.3764048072716813	2.616565261684873	30.314235068398457	-1649.7358996503158
95000	-1704.4518878406213	-1662.3016952845228	-42.150192556098574	375.0446683598974	14189.383478123438	0.40665087405457634	2.7051394671059157	33.16290365225312	-1662.3016952845228
96000	-1698.9460124231823	-1655.2262848899077	-43.7197275332746	284.49889738004094	17923.09107708227	0.4347960686365647	2.6001150303254694	29.047147858118805	-1655.2262848899077
97000	-1695.7874649334133	-1652.5997592011745	-43.187705732238854	416.94300615144283	16537.366167966687	0.4122070185291432	2.7900919019091868	33.42312152014863	-1652.5997592011745
98000	-1704.9051028688987	-1655.4212034301656	-49.48389943873297	367.0288379786566	9689.35514787511	0.42150993599605985	2.936750238783248	32.033876454150224	-1655.4212034301656
99000	-1698.4261886373556	-1654.8272761408762	-43.59891249647933	430.59607877524553	14159.273397592642	0.41121521066523786	2.855024907137056	35.00593875738602	-1654.8272761408762
100000	-1697.7451308544867	-1655.4715960225979	-42.273534831888746	474.3444248538852	27700.72184054372	0.4276540099977517	2.6422952138285205	31.82494622699078	-1655.4715960225979
