Sample	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	D.treeLikelihood
113000	-19836.189467614033	-19693.669758689015	-142.5197089250189	3880.6939129690977	0.4194721793644706	0.9505914859493318	12.540807158520682	434.7237948736839	-19693.669758689015
114000	-19843.253927585127	-19701.550229255867	-141.70369832926144	5293.520108437795	0.4194721793644706	0.9505914859493318	12.70804675628746	442.2390521164781	-19701.550229255867
115000	-19845.01194665323	-19703.068510859273	-141.9434357939579	4642.483696829486	0.4194721793644706	0.9505914859493318	12.49798905536044	440.2830663484703	-19703.068510859273
116000	-19847.10246152481	-19703.3135360952	-143.78892542960983	7321.832299674365	0.4187266468916974	0.9505914859493318	12.836951576885356	450.7836852675039	-19703.3135360952
117000	-19852.980192728333	-19704.561125102617	-148.41906762571762	9721.870336973676	0.4187266468916974	0.9505914859493318	12.727702976269711	445.51996421425713	-19704.561125102617
118000	-19852.453449461624	-19710.335453006333	-142.11799645529055	7959.54442115598	0.4187266468916974	0.9505914859493318	12.706760868512463	448.5541558227302	-19710.335453006333
119000	-19841.41212537018	-19698.13087134056	-143.2812540296218	7384.166701195619	0.4187266468916974	0.9505914859493318	12.694444017286898	445.59424651034294	-19698.13087134056
120000	-19854.431478868817	-19709.01719028839	-145.4142885804298	7543.603106606207	0.4187266468916974	0.9505914859493318	12.686697183845105	445.7677521842716	-19709.01719028839
121000	-19845.50368309455	-19701.693476836466	-143.81020625808375	5923.952861392461	0.4187266468916974	0.9505914859493318	12.538124979710288	440.63285594500786	-19701.693476836466
122000	-19842.324421672147	-19699.60655753097	-142.7178641411779	3372.4652559922934	0.4187266468916974	0.9505914859493318	12.351914578820216	432.1785236683945	-19699.60655753097
123000	-19844.052432764136	-19700.477077851032	-143.57535491310423	3872.0847463168175	0.4187266468916974	0.9505914859493318	12.514861491055774	436.65862740964405	-19700.477077851032
124000	-19843.389254491747	-19699.720945623405	-143.6683088683405	5418.340540326809	0.4187266468916974	0.9505914859493318	12.573950767393871	439.92873534306034	-19699.720945623405
125000	-19841.567264905865	-19696.269498685455	-145.29776622040873	4366.26706862209	0.4195925474760053	0.9505914859493318	12.66151289955936	441.3057305595618	-19696.269498685455
126000	-19846.04463091141	-19701.97501224753	-144.06961866387712	4637.759578652501	0.4195925474760053	0.9505914859493318	12.4900008987077	435.4247270308458	-19701.97501224753
127000	-19846.813948838735	-19705.068340330985	-141.74560850775123	4382.051828011542	0.4195925474760053	0.9505914859493318	12.49507313825296	440.4221130179506	-19705.068340330985
128000	-19841.428895495672	-19697.736069337345	-143.6928261583264	9248.669961632251	0.4195925474760053	0.9505914859493318	12.695719205551992	449.1191447049142	-19697.736069337345
129000	-19852.7313379955	-19708.180143269157	-144.55119472634493	8203.116546263554	0.4195925474760053	0.9505914859493318	12.488723466168214	443.6983515941721	-19708.180143269157
130000	-19837.841589526895	-19697.205196650564	-140.63639287633092	3287.5025190436445	0.4195925474760053	0.9505914859493318	12.506783340922627	434.96577993820273	-19697.205196650564
131000	-19841.391342887186	-19697.249547507377	-144.14179537980866	2611.826947136917	0.4195925474760053	0.9505914859493318	12.172018963164563	427.2924446788024	-19697.249547507377
132000	-19839.70917320074	-19693.553324478755	-146.15584872198446	3917.6979960632557	0.4195925474760053	0.9505914859493318	12.62292305338959	442.5714741207872	-19693.553324478755
133000	-19850.29044335217	-19704.55847402941	-145.7319693227568	4442.786807670162	0.4195925474760053	0.9505914859493318	12.571678553695648	437.8906241039782	-19704.55847402941
134000	-19839.44562481122	-19691.84244036689	-147.60318444432906	7593.38452727493	0.4195925474760053	0.9505914859493318	12.852609674449214	452.09713138401725	-19691.84244036689
135000	-19840.30942510972	-19692.951154038903	-147.3582710708181	11380.895589466545	0.4195925474760053	0.9505914859493318	12.724138393046863	447.90428009833334	-19692.951154038903
136000	-19848.4585713808	-19703.542159256307	-144.91641212449255	8824.972801456852	0.4195925474760053	0.9505914859493318	12.745143703044782	449.4946504477254	-19703.542159256307
137000	-19843.43427979156	-19701.55490220129	-141.87937759026894	6946.502186012707	0.4195925474760053	0.9505914859493318	12.683270649304447	448.6087159257978	-19701.55490220129
138000	-19852.027834050317	-19704.328747072224	-147.6990869780912	5074.60849157781	0.4195925474760053	0.9505914859493318	12.749582796992673	446.5562614048999	-19704.328747072224
139000	-19848.144402497328	-19703.800555322156	-144.343847175174	5648.709436325692	0.4195925474760053	0.9505914859493318	12.556237117328447	438.4429198220274	-19703.800555322156
140000	-19845.841388416033	-19701.705463892555	-144.13592452347902	5003.969366586991	0.4195925474760053	0.9505914859493318	12.655178219902064	442.5031978908753	-19701.705463892555
141000	-19859.650185602102	-19711.103406187485	-148.5467794146169	5766.618041821657	0.4195925474760053	0.9505914859493318	12.402556953215669	434.21032002491336	-19711.103406187485
142000	-19852.870722653803	-19708.751089772675	-144.119632881126	5852.643494923502	0.42412817247993767	0.9505914859493318	12.603851536359027	440.48393113539345	-19708.751089772675
143000	-19848.927694996324	-19700.77868266404	-148.1490123322845	9731.547078439882	0.42412817247993767	0.9505914859493318	12.738444456755325	443.0161103190131	-19700.77868266404
144000	-19855.54306935382	-19707.326036866707	-148.21703248711256	6659.663883409275	0.42412817247993767	0.9505914859493318	12.678610816062417	438.4396017135877	-19707.326036866707
145000	-19853.476982135508	-19706.00925131585	-147.46773081965927	7738.908284472829	0.42412817247993767	0.9505914859493318	12.736798629083314	439.37017154518117	-19706.00925131585
146000	-19847.49343350558	-19703.633378209353	-143.86005529622796	4122.77833316307	0.42412817247993767	0.9505914859493318	12.379094263117745	429.5607938193505	-19703.633378209353
147000	-19845.929195824167	-19702.881919357435	-143.0472764667331	3328.6865698051756	0.42412817247993767	0.9505914859493318	12.47086363970473	430.2051040238854	-19702.881919357435
148000	-19839.720230153376	-19696.75039475365	-142.9698353997264	3838.048957091928	0.42412817247993767	0.9505914859493318	12.467604133842553	430.12342394516895	-19696.75039475365
